2D Confluency at Start of Differentiation (%) (76)	3D Confluency at Start of Differentiation (%) (78)	3D Cell Type - None/Unclear (160)	3D Cell Type - CM (154)	3D Cell Type - SC (76)	3D Cell Type - EC (34)	3D Cell Type - Others (3)	WNT Activator - CHIR99021 (174)	WNT Activator - None/Unclear (77)	WNT Activator - Activin A (74)
Not Applicable		False	True	False	False	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
	Not Applicable	True	False	False	False	False	False	False	False
	Not Applicable	True	False	False	False	False	False	True	False
	Not Applicable	True	False	False	False	False	False	True	False
85 to 89	Not Applicable	True	False	False	False	False	False	False	False
	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	EB	False	True	True	True	False	True	False	True
Not Applicable	EB	False	True	False	False	False	False	False	True
Not Applicable	95 to 100	False	True	True	False	False	True	False	False
Not Applicable	EB	False	True	False	False	False	False	False	True
	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable		False	True	True	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
	Not Applicable	False	True	False	False	False	True	False	False
80 to 84	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	EB	False	True	True	False	False	False	False	True
Not Applicable	85 to 89	False	True	False	False	False	True	False	False
Not Applicable		False	True	True	False	False	True	False	False
75 to 79	EB	False	True	False	False	False	True	False	True
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable	90 to 94	False	True	True	False	False	True	False	False
Not Applicable	75 to 79	False	True	False	False	False	True	False	False
90 to 94	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable		False	True	False	False	False	True	False	False
95 to 100	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	EB	False	True	False	False	False	True	False	False
Not Applicable	90 to 94	False	True	True	True	False	True	False	False
	Not Applicable	True	False	False	False	False	False	False	True
Not Applicable		False	True	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable	95 to 100	False	True	True	True	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable		False	True	True	False	False	True	False	False
90 to 94	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
	Not Applicable	True	False	False	False	False	False	True	False
	Not Applicable	True	False	False	False	False	False	True	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable		False	True	False	False	False	True	False	False
Not Applicable	EB	False	True	True	False	False	False	False	True
Not Applicable	EB	True	False	False	False	False	True	False	True
Not Applicable	85 to 89	False	True	False	False	False	True	False	False
EB	Not Applicable	True	False	False	False	False	False	False	True
Not Applicable	EB	False	True	False	False	False	False	False	True
Not Applicable		False	True	False	False	False	True	False	False
Not Applicable	EB	False	True	False	False	False	False	False	True
Not Applicable		False	True	True	False	False	True	False	True
90 to 94	Not Applicable	True	False	False	False	False	True	False	False
EB	Not Applicable	True	False	False	False	False	True	False	False
EB	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	False	False
Not Applicable	EB	False	True	False	False	False	False	False	False
	Not Applicable	True	False	False	False	False	False	True	False
80 to 84	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	EB	False	True	False	False	False	False	True	False
Not Applicable	80 to 84	False	True	False	False	False	False	True	False
Not Applicable		False	True	False	False	False	True	False	False
	Not Applicable	False	True	False	False	False	True	False	False
Not Applicable	95 to 100	False	True	False	False	False	True	False	False
Not Applicable	EB	False	True	False	False	False	False	False	True
Not Applicable	EB	False	True	False	False	False	False	False	True
Not Applicable	EB	False	True	False	False	False	False	False	True
	Not Applicable	False	True	True	False	False	True	False	False
Not Applicable		False	True	False	False	False	False	True	False
	Not Applicable	True	False	False	False	False	False	True	False
90 to 94	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable		False	True	True	False	False	False	True	False
Not Applicable		False	True	True	True	False	False	False	True
Not Applicable	85 to 89	False	True	False	False	False	True	False	False
EB	Not Applicable	True	False	False	False	False	False	False	True
	Not Applicable	False	True	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	95 to 100	False	True	True	False	False	True	False	False
Not Applicable	90 to 94	False	True	True	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable		False	True	False	False	False	True	False	False
Not Applicable	EB	False	True	False	False	False	False	False	True
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable		False	True	True	False	True	True	False	False
Not Applicable		False	True	True	True	False	False	False	True
EB	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	95 to 100	False	True	True	False	False	True	False	False
Not Applicable	95 to 100	False	True	True	True	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable		False	True	True	True	False	True	False	False
90 to 94	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	90 to 94	False	True	True	False	False	True	False	False
	Not Applicable	False	True	False	False	False	True	False	False
EB	Not Applicable	True	False	False	False	False	False	False	True
	Not Applicable	True	False	False	False	False	False	True	False
	Not Applicable	True	False	False	False	False	True	False	True
70 to 74	Not Applicable	True	False	False	False	False	False	True	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable		False	True	True	True	False	False	True	False
Not Applicable		False	True	True	True	False	False	True	False
Not Applicable		False	True	True	False	False	False	True	False
EB	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable		False	True	True	True	False	False	True	False
Not Applicable	90 to 94	False	True	False	False	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable		False	True	True	False	False	False	True	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable	EB	False	True	False	False	False	False	False	True
	Not Applicable	True	False	False	False	False	False	False	True
Not Applicable		False	True	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable	EB	False	True	True	True	False	False	True	False
Not Applicable		False	True	True	True	False	False	True	False
Not Applicable		True	False	False	False	False	False	True	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable	95 to 100	False	True	True	False	False	False	False	True
Not Applicable	95 to 100	False	True	True	False	False	False	False	True
90 to 94	Not Applicable	False	True	False	False	False	True	False	False
Not Applicable	80 to 84	False	True	True	True	False	True	False	True
Not Applicable		False	True	True	False	False	True	False	False
Not Applicable	70 to 74	False	True	True	False	False	True	False	False
Not Applicable		False	True	False	False	False	False	False	True
Not Applicable	EB	False	True	False	False	False	False	False	True
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	EB	False	True	False	False	False	False	False	True
Not Applicable		False	True	True	True	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable	EB	False	True	False	False	False	False	False	True
Not Applicable		False	True	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable		False	True	True	False	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	95 to 100	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
95 to 100	Not Applicable	True	False	False	False	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
EB	Not Applicable	True	False	False	False	False	False	False	True
Not Applicable		False	True	False	False	False	False	False	True
Not Applicable	85 to 89	False	True	True	False	False	True	False	False
	Not Applicable	False	True	False	False	False	False	True	False
Not Applicable		False	True	False	False	True	False	True	False
	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	90 to 94	False	True	True	False	False	True	False	False
Not Applicable	85 to 89	False	True	False	False	False	True	False	False
Not Applicable		False	True	True	False	False	True	False	True
90 to 94	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable		False	True	True	False	False	True	False	False
Not Applicable	EB	False	True	True	True	False	False	False	True
Not Applicable	EB	False	True	False	False	False	False	False	True
Not Applicable	EB	False	True	False	False	False	False	False	True
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable		False	True	True	True	False	False	True	False
Not Applicable	95 to 100	False	True	True	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable		True	False	False	False	False	False	True	False
Not Applicable		False	True	False	False	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	90 to 94	False	True	True	True	False	True	False	False
	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	True	False
Not Applicable	EB	False	True	False	True	False	False	False	True
Not Applicable		False	True	True	False	False	True	False	False
Not Applicable		False	True	False	True	True	True	False	False
90 to 94	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable		False	True	True	False	False	False	True	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable	EB	False	True	True	False	False	False	False	True
	Not Applicable	True	False	False	False	False	True	False	False
95 to 100	Not Applicable	True	False	False	False	False	False	False	True
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
Not Applicable		False	True	True	True	False	True	False	False
85 to 89	Not Applicable	True	False	False	False	False	False	False	True
	Not Applicable	True	False	False	False	False	False	False	True
EB	Not Applicable	True	False	False	False	False	False	False	True
Not Applicable		False	True	False	False	False	False	True	False
Not Applicable	85 to 89	False	True	False	False	False	False	True	False
	Not Applicable	False	True	True	False	False	True	False	True
Not Applicable	70 to 74	False	True	False	False	False	False	True	False
85 to 89	Not Applicable	True	False	False	False	False	True	False	False
	Not Applicable	False	True	True	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	False	True
95 to 100	Not Applicable	False	True	False	False	False	True	False	False
Not Applicable		False	True	False	True	False	False	True	False
Not Applicable	95 to 100	False	True	True	False	False	True	False	True
Not Applicable	85 to 89	False	True	True	False	False	True	False	False
	Not Applicable	True	False	False	False	False	False	False	False
	Not Applicable	True	False	False	False	False	False	True	False
